	GName	Class	MF	Mass	HMDB	KEGG	PC	Nam2
	"Carnitine C18:1"	Lipids	C25H47NO4	425.350509	HMDB05065		53477789	"Carnitine C18:1"
	"Carnitine C18:1(OH)"	Lipids	C25H47NO5	441.345424	HMDB13339;HMDB13340		53481697;53481699	"Carnitine C18:1(OH)"
	"Carnitine C18:0"	Lipids	C25H49NO4	427.366159	HMDB00848		6426855	"Carnitine C18:0"
	"Carnitine C18:0(OH)"	Lipids	C25H49NO5	443.361074	HMDB13154		53481632	"Carnitine C18:0(OH)"
	PCae(17:0)	Lipids	C25H52NO7P	509.34814	HMDB12108		24779463;24779464	PCae(17:0)
	"Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside];;7-O-(beta-D-Apiofuranosyl-1,2-beta-D-glucosyl)-5,7,4-trihydroxyflavone;;Apiin;;7-[(2-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-5-hydroxy-2-(4-hydroxy-phenyl)-4H-1-benzopyran-4-one;;Apioside"	todo2	C26H28O14	564.147906	HMDB17336	C04858	5280746	"Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]"
	"Pelargonidin 3-O-beta-D-sambubioside"	todo2	C26H28O14	564.147906	NA	C20489	71627264	"Pelargonidin 3-O-beta-D-sambubioside"
	"Cyanidin 3-O-beta-D-sambubioside"	todo2	C26H28O15	580.14282	NA	C20490	6602304	"Cyanidin 3-O-beta-D-sambubioside"
	"Quercetin 3-O-[beta-D-xylosyl-(1->2)-beta-D-glucoside]"	todo2	C26H28O16	596.137735	NA	C12637	5487635	"Quercetin 3-O-[beta-D-xylosyl-(1->2)-beta-D-glucoside]"
	"Delphinidin 3-O-beta-D-sambubioside"	todo2	C26H28O16	596.137735	NA	C20491	10196837	"Delphinidin 3-O-beta-D-sambubioside"
	Tamoxifen	todo2	C26H29NO	371.224915	HMDB14813	C07108	2733526	Tamoxifen
	Hydroxytamoxifen;;4-Hydroxytamoxifen	todo2	C26H29NO2	387.219829	HMDB13867	C05011	449459	Hydroxytamoxifen
	alpha-Hydroxytamoxifen	todo2	C26H29NO2	387.219829	NA	C16544	3036580	alpha-Hydroxytamoxifen
	"Tamoxifen N-oxide"	todo2	C26H29NO2	387.219829	NA	C16545	3033895	"Tamoxifen N-oxide"
	"all-trans-Retinoyl-beta-glucuronide;;Retinoyl glucuronide"	todo2	C26H36O8	476.241018	HMDB03141	C11061	5281877	all-trans-Retinoyl-beta-glucuronide
	MethylfumarylCoA	todo	C26H40N7O19P3S	879.131253		C06028;C18323	11966166;71448968	MethylfumarylCoA
	Glutaconyl-1-CoA;;4-Carboxybut-2-enoyl-CoA;;Glutaconyl-CoA;;(E)-Glutaconyl-CoA;;(2E)-4-Carboxybut-2-enoyl-CoA	todo2	C26H40N7O19P3S	879.131253	NA	C02411	9543050	Glutaconyl-1-CoA
	"16-Feruloyloxypalmitate;;16-Feruloyloxypalmitic acid"	todo2	C26H40O6	448.282489	NA	C18217	14018343	16-Feruloyloxypalmitate
	3-methylcrotonylCoA	todo	C26H42N7O17P3S	849.157074	HMDB01493	C03069	9549326	3-methylcrotonylCoA
	2-Methylbut-2-enoyl-CoA;;trans-2-Methylbut-2-enoyl-CoA;;Tiglyl-CoA;;(E)-2-Methylcrotonoyl-CoA;;Methylcrotonoyl-CoA;;Methylcrotonyl-CoA;;Tigloyl-CoA;;2-Methylcrotanoyl-CoA	todo2	C26H42N7O17P3S	849.157074	HMDB02054	C03345	6443760	2-Methylbut-2-enoyl-CoA
	2-Methylacetoacetyl-CoA;;2-Methyl-3-acetoacetyl-CoA	todo2	C26H42N7O18P3S	865.151988	HMDB01157	C03344	193425	2-Methylacetoacetyl-CoA
	EthylmalonylCoA	todo	C26H42N7O19P3S	881.146903		C18026;C20238	49852422;71448977	EthylmalonylCoA
	GlutarylCoA	Lipids	C26H42N7O19P3S	881.146903	HMDB01339	C00527	3081383	GlutarylCoA
	MethylsuccinylCoA	todo	C26H42N7O19P3S	881.146903		C18324	71448969	MethylsuccinylCoA
	CitramalylCoA	todo	C26H42N7O20P3S	897.141818	HMDB06345	C01011	11966212	CitramalylCoA
	Erythro-3-MethylmalylCoA	todo	C26H42N7O20P3S	897.141818		C06027	71448895	Erythro-3-MethylmalylCoA
	2-Hydroxyglutaryl-CoA	todo2	C26H42N7O20P3S	897.141818	NA	C03058	11966206	2-Hydroxyglutaryl-CoA
	"Glycolithocholic acid"	Steroids	C26H43NO4	433.319209	HMDB00698	C15557	115245	"Glycolithocholic acid"
	"Glycochenodeoxycholic acid"	Steroids	C26H43NO5	449.314123	HMDB00637	C05466	22833540	"Glycochenodeoxycholic acid"
	"Glycodeoxycholic acid"	Steroids	C26H43NO5	449.314123		C05464	3035026	"Glycodeoxycholic acid"
	"Glycoursodeoxycholic acid"	Steroids	C26H43NO5	449.314123	HMDB00708		12310288	"Glycoursodeoxycholic acid"
	"Glycocholic acid"	Steroids	C26H43NO6	465.309038	HMDB00138	C01921	10140	"Glycocholic acid"
	"Glycolithocholic acid sulfate"	Steroids	C26H43NO7S	513.276024		C11301	72222	"Glycolithocholic acid sulfate"
	2-methylbutanoylCoA	todo	C26H44N7O17P3S	851.172724	HMDB01041	C01033	11966141	2-methylbutanoylCoA
	3-methylbutanoylCoA	todo	C26H44N7O17P3S	851.172724	HMDB01113	C02939	165435	3-methylbutanoylCoA
	"Pentanoyl-CoA;;Valeryl-coenzyme A"	todo2	C26H44N7O17P3S	851.172724	HMDB13037	C00888	11966122	Pentanoyl-CoA
	(S)-2-Methylbutanoyl-CoA	todo2	C26H44N7O17P3S	851.172724	NA	C15980	71448903	(S)-2-Methylbutanoyl-CoA
	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA;;(S)-3-Hydroxy-2-methylbutyryl-CoA	todo2	C26H44N7O18P3S	867.167638	HMDB01356	C04405	11966220	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA
	"3-Hydroxyisovaleryl-CoA;;3-Hydroxyisovaleryl coenzyme A"	todo2	C26H44N7O18P3S	867.167638	HMDB06870	C05998	11966188	3-Hydroxyisovaleryl-CoA
	"Taurolithocholic acid"	Steroids	C26H45NO5S	483.301845	HMDB00722	C02592	439763	"Taurolithocholic acid"
	"Taurochenodeoxycholic acid"	Steroids	C26H45NO6S	499.296759	HMDB00951	C05465	387316	"Taurochenodeoxycholic acid"
	"Taurodeoxycholic acid"	Steroids	C26H45NO6S	499.296759	HMDB00896	C05463	2733768;440687	"Taurodeoxycholic acid"
	"Tauroursodeoxycholic acid"	Steroids	C26H45NO6S	499.296759	HMDB00874		12443252	"Tauroursodeoxycholic acid"
	"Tauro-beta-muricholic acid"	Steroids	C26H45NO7S	515.291674	HMDB00932		168408	"Tauro-beta-muricholic acid"
	"Taurocholic acid"	Steroids	C26H45NO7S	515.291674	HMDB00036	C05122	440567	"Taurocholic acid"
	"Tauroursocholic acid"	Steroids	C26H45NO7S	515.291674	HMDB00889		21252258	"Tauroursocholic acid"
	"Taurolithocholic acid sulfate"	Steroids	C26H45NO8S2	563.258659		C03642	440071	"Taurolithocholic acid sulfate"
	PCae(18:4)	Lipids	C26H46NO7P	515.301189	HMDB10389		52924047	PCae(18:4)
	2-Aminoethylphosphocholate	todo2	C26H46NO7P	515.301189	NA	C05683	440757	2-Aminoethylphosphocholate
	"gamma-L-Glutamyl-butirosin B"	todo2	C26H48N6O15	684.317765	NA	C18005	46174033	"gamma-L-Glutamyl-butirosin B"
	PCae(18:3)	Lipids	C26H48NO7P	517.31684	HMDB10387;HMDB10388		52924045;24779469	PCae(18:3)
	PCae(18:2)	Lipids	C26H50NO7P	519.33249	HMDB10386		11005824;24779467;11988421	PCae(18:2)
	PCae(P-18:1)	Lipids	C26H52NO6P	505.353225	HMDB10408		24779513	PCae(P-18:1)
	PCae(18:1)	Lipids	C26H52NO7P	521.34814	HMDB10385;HMDB02815		16081932;53480465;24779493;6449974;24779492;10279683;24779465;24779466;6030826;15120177;24779494	PCae(18:1)
	"Hexacosanoic acid"	Lipids	C26H52O2	396.396731	HMDB02356		10469	"Hexacosanoic acid"
	PCae(P-18:0)	Lipids	C26H54NO6P	507.368875	HMDB13122		24779527	PCae(P-18:0)
	PCae(18:0)	Lipids	C26H54NO7P	523.36379	HMDB11128;HMDB10384		497299;24779491;18684067;86556;10436817;10208382	PCae(18:0)
	"Coumermic acid"	todo2	C27H21N3O10	547.122694	NA	C12479	54691352	"Coumermic acid"
	"Pelargonidin 3-O-3,6-O-dimalonylglucoside"	todo2	C27H24O16	604.106435	NA	C16288	23724696	"Pelargonidin 3-O-3,6-O-dimalonylglucoside"
	"Cyanidin 3-O-3,6-O-dimalonylglucoside"	todo2	C27H24O17	620.101349	HMDB30096	C16289	23724697	"Cyanidin 3-O-3,6-O-dimalonylglucoside"
	"Delphinidin 3-O-3,6-O-dimalonylglucoside"	todo2	C27H24O18	636.096264	NA	C16290	23724698	"Delphinidin 3-O-3,6-O-dimalonylglucoside"
	"Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide];;Luteolin 7-O-beta-D-diglucuronide"	todo2	C27H26O18	638.111914	NA	C12632	5282153	"Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]"
	"Cyanidin 3-O-(2-O-beta-D-glucuronosyl)-beta-D-glucoside"	todo2	C27H28O17	624.132649	NA	C19762	50909830	"Cyanidin 3-O-(2-O-beta-D-glucuronosyl)-beta-D-glucoside"
	"Aflatoxin B1exo-8,9-epoxide-GSH;;8,9-Dihydro-8-(S-glutathionyl)-9-hydroxyaflatoxin B1"	todo2	C27H29N3O13S	635.142109	NA	C11278	5460816	"Aflatoxin B1exo-8,9-epoxide-GSH"
	"Curcumin monoglucoside"	todo2	C27H30O11	530.178812	NA	C17749	11526601	"Curcumin monoglucoside"
	"Apigenin 7-O-neohesperidoside;;Rhoifolin;;Rhoifoloside"	todo2	C27H30O14	578.163556	HMDB25551	C12627	5282150	"Apigenin 7-O-neohesperidoside"
	"Vitexin 2-O-beta-L-rhamnoside;;2-O-Rhamnosylvitexin;;Vitexin 2-rhamnoside"	todo2	C27H30O14	578.163556	NA	C12628	5282151	"Vitexin 2-O-beta-L-rhamnoside"
	"Vitexin 2-O-beta-D-glucoside;;Flavosativaside;;2-O-Glucosylvitexin"	todo2	C27H30O15	594.15847	NA	C04024	5280641	"Vitexin 2-O-beta-D-glucoside"
	"Isovitexin 2-O-beta-D-glucoside"	todo2	C27H30O15	594.15847	NA	C04199	185995	"Isovitexin 2-O-beta-D-glucoside"
	"Cyanidin 3-O-rutinoside;;Cyanidin 3-O-rhamnosylglucoside;;Keracyanin"	todo2	C27H30O15	594.15847	HMDB31458	C08620	441674	"Cyanidin 3-O-rutinoside"
	"Pelargonin;;Pelargonidin 3,5-di-beta-D-glucoside"	todo2	C27H30O15	594.15847	HMDB19956	C08725	441772	Pelargonin
	"Scolymoside;;Luteolin 7-O-neohesperidoside;;Veronicastroside"	todo2	C27H30O15	594.15847	HMDB05799	C12630	5282152	Scolymoside
	"Pelargonidin 3-O-sophoroside"	todo2	C27H30O15	594.15847	HMDB19954	C16305	23724704	"Pelargonidin 3-O-sophoroside"
	"Pelargonidin 3,7-di-O-beta-D-glucoside"	todo2	C27H30O15	594.15847	NA	C20495	72734295	"Pelargonidin 3,7-di-O-beta-D-glucoside"
	"Rutin;;3-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one;;Quercetin 3-rutinoside;;Rutoside;;Phytomelin"	todo2	C27H30O16	610.153385	HMDB03249	C05625	5280805	Rutin
	"Cyanin;;Cyanidin 3,5-di-O-glucoside;;Cyanidin 3,5-O-diglucoside;;Cyanidin 3,5-di-O-beta-D-glucoside"	todo2	C27H30O16	610.153385	NA	C08639	441688	Cyanin
	"Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside;;Kaempferol 3-O-beta-D-sophoroside;;Sophoraflavonoloside"	todo2	C27H30O16	610.153385	NA	C12634	5282155	"Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside"
	"Cyanidin 3-O-sophoroside"	todo2	C27H30O16	610.153385	NA	C16306	11169452	"Cyanidin 3-O-sophoroside"
	"Tulipanin;;Delphinidin 3-O-rutinoside"	todo2	C27H30O16	610.153385	HMDB24631	C16315	5492231	Tulipanin
	"Kaempferol 3-O-beta-D-glucosylgalactoside"	todo2	C27H30O16	610.153385	NA	C16490	9986191	"Kaempferol 3-O-beta-D-glucosylgalactoside"
	"Quercetin 3-O-rhamnoside 7-O-glucoside"	todo2	C27H30O16	610.153385	NA	C19796	6325870	"Quercetin 3-O-rhamnoside 7-O-glucoside"
	"Cyanidin 3,7-di-O-beta-D-glucoside"	todo2	C27H30O16	610.153385	NA	C20469	5491675	"Cyanidin 3,7-di-O-beta-D-glucoside"
	"Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside;;Baimaside;;Quercetin 3-beta-D-sophoroside;;Quercetin 3-O-sophoroside;;QUOSP"	todo2	C27H30O17	626.1483	NA	C12667	5282166	"Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside"
	"Delphinidin 3-O-sophoroside"	todo2	C27H30O17	626.1483	NA	C16307	23724705	"Delphinidin 3-O-sophoroside"
	"Delphin;;Delphinidin 3,5-diglucoside"	todo2	C27H30O17	626.1483	HMDB30693	C16312	10100906	Delphin
	"Delphinidin 3,7-di-O-beta-D-glucoside"	todo2	C27H30O17	626.1483	NA	C20496	72734296	"Delphinidin 3,7-di-O-beta-D-glucoside"
	"Raucaffricine;;Vomilenine beta-D-glucoside"	todo2	C27H32N2O8	512.215866	NA	C02074	5280486	Raucaffricine
	"Naringin;;Naringenin 7-O-neohesperidoside;;Naringenin 7-O-[alpha-L-rhamnosyl-(1->2)-beta-D-glucoside]"	todo2	C27H32O14	580.179206	HMDB02927	C09789	442428	Naringin
	FAD	"Cofactors and vitamins"	C27H33N9O15P2	785.157135	HMDB01248	C00016	643975	FAD
	3-alpha(S)-Strictosidine;;Strictosidine	todo2	C27H34N2O9	530.226431	NA	C03470	161336	3-alpha(S)-Strictosidine
	FADH2	todo2	C27H35N9O15P2	787.172785	HMDB01197	C01352	446013	FADH2
	9-cis-10-Apo-beta-carotenal	todo2	C27H36O	376.276616	NA	C20692	70678813	9-cis-10-Apo-beta-carotenal
	delta-Tocotrienol	todo	C27H40O2	396.302831		C14156	5282350	delta-Tocotrienol
	MethylglutaconylCoA	todo	C27H42N7O19P3S	893.146903	HMDB01057	C03231	71448892	MethylglutaconylCoA
	5-Carboxy-2-pentenoyl-CoA;;2,3-Didehydroadipyl-CoA	todo2	C27H42N7O19P3S	893.146903	NA	C14144	24798711	5-Carboxy-2-pentenoyl-CoA
	3-Oxoadipyl-CoA;;beta-Ketoadipyl-CoA	todo2	C27H42N7O20P3S	909.141818	NA	C02232	9543153	3-Oxoadipyl-CoA
	(3S)-Citryl-CoA	todo2	C27H42N7O22P3S	941.131647	NA	C00566	49859700	(3S)-Citryl-CoA
	7-Dehydrodesmosterol;;Cholesta-5,7,24-triene-3beta-ol	todo2	C27H42O	382.323566	HMDB03896	C05107	440558	7-Dehydrodesmosterol
	7alpha-Hydroxy-3-oxo-4-cholestenoate	todo2	C27H42O4	430.30831	HMDB12458	C17337	3081085	7alpha-Hydroxy-3-oxo-4-cholestenoate
	trans-Hex-2-enoyl-CoA;;(2E)-Hexenoyl-CoA	todo2	C27H44N7O17P3S	863.172724	HMDB03944	C05271	11966204	trans-Hex-2-enoyl-CoA
	3-Oxohexanoyl-CoA;;3-Ketohexanoyl-CoA	todo2	C27H44N7O18P3S	879.167638	HMDB03943	C05269	3082152	3-Oxohexanoyl-CoA
	Adipyl-CoA;;5-Carboxypentanoyl-CoA	todo2	C27H44N7O19P3S	895.162553	HMDB04047	C14143	9543333	Adipyl-CoA
	3-Hydroxy-5-oxohexanoyl-CoA	todo2	C27H44N7O19P3S	895.162553	NA	C16273	9543236	3-Hydroxy-5-oxohexanoyl-CoA
	Hydroxy-methylglutarylCoA	todo	C27H44N7O20P3S	911.157468	HMDB01375	C00356	445127	Hydroxy-methylglutarylCoA
	(3S)-3-Hydroxyadipyl-CoA	todo2	C27H44N7O20P3S	911.157468	HMDB12475	C14145	71448902	(3S)-3-Hydroxyadipyl-CoA
	7-dehydrocholesterol	todo	C27H44O	384.339216	HMDB00032	C01164	439423	7-dehydrocholesterol
	Desmosterol	Lipids	C27H44O	384.339216	HMDB02719	C01802	439577	Desmosterol
	"Vitamin D3"	todo	C27H44O	384.339216	HMDB14315;HMDB00876	C05443	5280795	"Vitamin D3"
	Zymosterol	todo	C27H44O	384.339216	HMDB06271	C05437	92746	Zymosterol
	Cholest-4-en-3-one;;Cholestenone;;4-Cholesten-3-one	todo2	C27H44O	384.339216	HMDB00921	C00599	91477	Cholest-4-en-3-one
	5alpha-Cholesta-7,24-dien-3beta-ol	todo2	C27H44O	384.339216	HMDB06842	C05439	440670	5alpha-Cholesta-7,24-dien-3beta-ol
	7-ketocholesterol	Steroids	C27H44O2	400.334131	HMDB00501		91474	7-ketocholesterol
	7a-hydroxycholest-4-en-3-one	todo	C27H44O2	400.334131	HMDB01993	C05455	123743	7a-hydroxycholest-4-en-3-one
	Calcidiol	todo	C27H44O2	400.334131	HMDB03550;HMDB14293	C01561	5283731	Calcidiol
	26-Hydroxycholest-4-en-3-one	todo2	C27H44O2	400.334131	NA	C20143	15108350	26-Hydroxycholest-4-en-3-one
	4-cholesten-7a,12a-diol-3-one	todo	C27H44O3	416.329045		C17339	3081958	4-cholesten-7a,12a-diol-3-one
	Calcitriol	todo	C27H44O3	416.329045	HMDB01903;HMDB14283	C01673	5280453	Calcitriol
	"Secalciferol;;24(R),25-Dihydroxyvitamin D3"	todo2	C27H44O3	416.329045	NA	C07712	5281059	Secalciferol
	7alpha,24-Dihydroxy-4-cholesten-3-one	todo2	C27H44O3	416.329045	HMDB12457	C17331	24755589	7alpha,24-Dihydroxy-4-cholesten-3-one
	7alpha,25-Dihydroxy-4-cholesten-3-one	todo2	C27H44O3	416.329045	NA	C17332	5284267	7alpha,25-Dihydroxy-4-cholesten-3-one
	"3beta-Hydroxy-5-cholestenoate;;3beta-Hydroxycholest-5-en-27-oic acid"	todo2	C27H44O3	416.329045	HMDB12453	C17333	165511	3beta-Hydroxy-5-cholestenoate
	7alpha,26-Dihydroxy-4-cholesten-3-one	todo2	C27H44O3	416.329045	HMDB12459	C17336	193396	7alpha,26-Dihydroxy-4-cholesten-3-one
	"3beta,7alpha-Dihydroxy-5-cholestenoate;;3beta,7alpha-Dihydroxy-5-cholesten-26-oic acid"	todo2	C27H44O4	432.32396	HMDB12454	C17335	3081084	3beta,7alpha-Dihydroxy-5-cholestenoate
	Calcitetrol	todo2	C27H44O4	432.32396	NA	C18231	9910685	Calcitetrol
	Hexanoyl-CoA	todo2	C27H46N7O17P3S	865.188374	HMDB02845	C05270	449118	Hexanoyl-CoA
	(S)-Hydroxyhexanoyl-CoA;;(S)-3-Hydroxyhexanoyl-CoA	todo2	C27H46N7O18P3S	881.183289	HMDB03942	C05268	11966160	(S)-Hydroxyhexanoyl-CoA
	Cholesterol	Steroids	C27H46O	386.354866	HMDB00067	C00187	6432564;5997	Cholesterol
	Lathosterol	Steroids	C27H46O	386.354866	HMDB01170	C01189	65728	Lathosterol
	Zymostenol	todo	C27H46O	386.354866	HMDB06841	C03845	101770	Zymostenol
	20a-hydroxycholesterol	todo	C27H46O2	402.349781	HMDB06283	C05500	121935	20a-hydroxycholesterol
	22(R)-hydroxycholesterol	todo	C27H46O2	402.349781	HMDB04035	C05502	167685	22(R)-hydroxycholesterol
	24(S)-hydroxycholesterol	Steroids	C27H46O2	402.349781	HMDB01419	C13550	121948	24(S)-hydroxycholesterol
	7a-hydroxycholesterol	Steroids	C27H46O2	402.349781	HMDB01496	C03594	107722	7a-hydroxycholesterol
	7b-hydroxycholesterol	Steroids	C27H46O2	402.349781	HMDB06119		473141	7b-hydroxycholesterol
	7a-hydroxy-5b-cholestan-3-one	todo	C27H46O2	402.349781	HMDB06892	C05451	5284270	7a-hydroxy-5b-cholestan-3-one
	delta-Tocopherol	todo	C27H46O2	402.349781	HMDB02902	C14151	92094	delta-Tocopherol
	25-Hydroxycholesterol;;Cholest-5-ene-3beta,25-diol	todo2	C27H46O2	402.349781	HMDB06247	C15519	65094	25-Hydroxycholesterol
	Cholest-5-ene-3beta,26-diol;;Cholest-5-ene-3beta,27-diol;;26-Hydroxycholesterol;;27-Hydroxycholesterol	todo2	C27H46O2	402.349781	NA	C15610	99470	Cholest-5-ene-3beta,26-diol
	2-Methyl-6-phytylquinol;;2-Methyl-6-phytyl-1,4-hydroquinone;;2-Methyl-6-phytylbenzene-1,4-diol;;2-Methyl-6-phytyl-1,4-benzoquinol	todo2	C27H46O2	402.349781	HMDB38959	C15882	71768135	2-Methyl-6-phytylquinol
	20a,22b-dihydroxycholesterol	todo	C27H46O3	418.344695	HMDB06763	C05501	6453841	20a,22b-dihydroxycholesterol
	Dihydroxy-5bcholestan-26-al	todo	C27H46O3	418.344695	HMDB06894	C05445	5460041	Dihydroxy-5bcholestan-26-al
	Dihydroxy-5bcholestan-3-one	todo	C27H46O3	418.344695	HMDB06887	C05453	5284271	Dihydroxy-5bcholestan-3-one
	17alpha,20alpha-Dihydroxycholesterol	todo2	C27H46O3	418.344695	HMDB06764	C05499	21145112	17alpha,20alpha-Dihydroxycholesterol
	7alpha,27-Dihydroxycholesterol;;Cholest-5-ene-3beta,7alpha,26-triol;;Cholest-5-ene-3beta,7alpha,27-triol	todo2	C27H46O3	418.344695	HMDB06281	C06341	440985	7alpha,27-Dihydroxycholesterol
	(24S)-Cholest-5-ene-3beta,7alpha,24-triol;;5-Cholesten-3beta,7alpha,24(S)-triol	todo2	C27H46O3	418.344695	NA	C15518	11954196	(24S)-Cholest-5-ene-3beta,7alpha,24-triol
	Cholest-5-ene-3beta,7alpha,25-triol;;7alpha,25-Dihydroxycholesterol;;5-Cholesten-3beta,7alpha,25-triol;;3beta,7alpha,25-Trihydroxycholest-5-ene	todo2	C27H46O3	418.344695	HMDB06280	C15520	11954197	Cholest-5-ene-3beta,7alpha,25-triol
	Dihydroxy-5bcholestanate	todo	C27H46O4	434.33961	HMDB03533	C01301;C04554	439479;440384	Dihydroxy-5bcholestanate
	"Cholesterol sulfate"	Steroids	C27H46O4S	466.311681	HMDB00653	C18043	65076	"Cholesterol sulfate"
	Trihydroxy-5bcholestanoate	todo	C27H46O5	450.334525	HMDB03873	C04722	440460	Trihydroxy-5bcholestanoate
	"Trypanothione disulfide;;Oxidized trypanothione"	todo2	C27H47N9O10S2	721.288731	NA	C03170	115098	"Trypanothione disulfide"
	Dihydrocholesterol	Steroids	C27H48O	388.370516	HMDB00908		6665	Dihydrocholesterol
	3a,7a-dihydroxy-5b-cholestane	todo	C27H48O2	404.365431	HMDB06893	C05452	3080603	3a,7a-dihydroxy-5b-cholestane
	Trihydroxy-cholestane	todo	C27H48O3	420.360345	HMDB01457;HMDB12455	C05444;C05454	160520;3082089	Trihydroxy-cholestane
	Tetrahydroxy-5bcholestane	todo	C27H48O4	436.35526	HMDB01231	C05446	193321	Tetrahydroxy-5bcholestane
	5beta-Cyprinolsulfate	todo2	C27H48O8S	532.306989	HMDB06888	C05468	440691	5beta-Cyprinolsulfate
	"SN38 glucuronide;;SN-38G"	todo2	C28H28N2O11	568.16931	NA	C11376	443154	"SN38 glucuronide"
	"Novclobiocin 105"	todo2	C28H30ClNO10	575.155824	NA	C12472	54691346	"Novclobiocin 105"
	NPC	todo2	C28H30N4O6	518.216535	NA	C16543	11756356	NPC
	"Isoswertisin 2-rhamnoside;;7-O-Methylvitexin 2-O-beta-L-rhamnoside;;2-O-Rhamnosylisoswertisin"	todo2	C28H32O14	592.179206	HMDB24011	C12629	443901	"Isoswertisin 2-rhamnoside"
	"Neohesperidin;;Hesperetin 7-O-neohesperidoside"	todo2	C28H34O15	610.18977	HMDB17239	C09806	442439	Neohesperidin
	2,4-Dichlorobenzoyl-CoA	todo2	C28H38Cl2N7O17P3S	939.063479	NA	C06671	9543105	2,4-Dichlorobenzoyl-CoA
	Cephaeline	todo2	C28H38N2O4	466.283158	NA	C09390	442195	Cephaeline
	4-Chlorobenzoyl-CoA	todo2	C28H39ClN7O17P3S	905.102451	NA	C06387	3082839	4-Chlorobenzoyl-CoA
	4-Fluorobenzoyl-CoA	todo2	C28H39FN7O17P3S	889.132002	NA	C02802	9543388	4-Fluorobenzoyl-CoA
	Geranylgeranylindole	todo	C28H39N	389.30825		C20525	5374226	Geranylgeranylindole
	BenzoateCoA	todo	C28H40N7O17P3S	871.141424	HMDB02252	C00512	9543169	BenzoateCoA
	4-Hydroxybenzoyl-CoA	todo2	C28H40N7O18P3S	887.136338	HMDB06467	C02949	168718	4-Hydroxybenzoyl-CoA
	Anthraniloyl-CoA;;2-Aminobenzoyl-CoA	todo2	C28H41N8O17P3S	886.152323	NA	C02247	9543032	Anthraniloyl-CoA
	CyclohexadienecarbonylCoA	todo	C28H42N7O17P3S	873.157074	HMDB12207	C06322	9543186	CyclohexadienecarbonylCoA
	Cyclohex-2,5-diene-1-carboxyl-CoA	todo2	C28H42N7O17P3S	873.157074	NA	C09809	9543190	Cyclohex-2,5-diene-1-carboxyl-CoA
	Cyclohex-1,4-diene-1-carboxyl-CoA	todo2	C28H42N7O17P3S	873.157074	NA	C09810	9543195	Cyclohex-1,4-diene-1-carboxyl-CoA
	OxocyclohexenecarbonylCoA	todo	C28H42N7O18P3S	889.151988	HMDB12180	C09821	11966191	OxocyclohexenecarbonylCoA
	Ergostatetraenol	todo	C28H42O	394.323566		C05440	23724485	Ergostatetraenol
	Tocotrienol	todo	C28H42O2	410.318481	HMDB12958;HMDB17039;HMDB30554	C14154;C14155	5282348;5282349	Tocotrienol
	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate;;UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate	todo2	C28H43N5O23P2	879.182406	NA	C00692	449538	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
	2-Amino-5-oxocyclohex-1-enecarbonyl-CoA;;2-Amino-5-oxocyclohex-1-enecarboxyl-CoA	todo2	C28H43N8O18P3S	904.162887	NA	C05165	9543129	2-Amino-5-oxocyclohex-1-enecarbonyl-CoA
	"Leukotriene F4;;LTF4"	todo2	C28H44N2O8S	568.281837	HMDB06465	C06462	5280938	"Leukotriene F4"
	CyclohexenecarboxylCoA	todo	C28H44N7O17P3S	875.172724		C09811	9543203	CyclohexenecarboxylCoA
	(2E)-5-Methylhexa-2,4-dienoyl-CoA	todo2	C28H44N7O17P3S	875.172724	NA	C16468	9549329	(2E)-5-Methylhexa-2,4-dienoyl-CoA
	HydroxycyclohexenecarbonylCoA	todo	C28H44N7O18P3S	891.167638	HMDB12179	C06749	9543130	HydroxycyclohexenecarbonylCoA
	KetocyclohexanecarboxylCoA	todo	C28H44N7O18P3S	891.167638		C09813	9543214	KetocyclohexanecarboxylCoA
	5-Methyl-3-oxo-4-hexenoyl-CoA	todo2	C28H44N7O18P3S	891.167638	NA	C16471	9549331	5-Methyl-3-oxo-4-hexenoyl-CoA
	6-Carboxyhex-2-enoyl-CoA;;2,3-Didehydro-pimeloyl-CoA	todo2	C28H44N7O19P3S	907.162553	NA	C06723	9543228	6-Carboxyhex-2-enoyl-CoA
